App Name,App Store,App,Store,App ID,Review ID,Country,Version,Rating,Date,Author,Subject,Body,Translated Subject,Translated Body,Emotion,Device
AcuraLink,Google Play,AcuraLink,Google Play,com.acura.acuralink.connect,Z3A6QU9xcFRPRklISnBsdkxMU0F0TGVZZFR2VjZZTm9peW5TUnRYOWk0clJNNmFJUDJoNGpVdFJ6bmk3dU5BdHMyY1JHZWVuQVN5TEw0eWRZOE51dUI4dlE,English,,1,2018-01-16,Clarence Louie,"","Still useless in Canada. Cannot search for Canadian dealership, units not in metric, slow to connect to the car to read status.",,,sad,
AcuraLink,Google Play,AcuraLink,Google Play,com.acura.acuralink.connect,Z3A6QU9xcFRPRWlKQXpTMzZ4a2NITTlvMjl0UEg2Y3JwLVJXSGotZFB4UDRLTElGZHZDM3BjUG5teHNBZ1d3eTMzbjRzdmxjOTNUaDRPUnNtb1pNSE9uN3c,English,,1,2018-01-14,Ian D'Souza,"","The app is amateur level.  Never mind the connection to the car (which is really buggy), but even the user interface feels like it's coded by a newbie. Acura needs to step up its game. This is software - fix it.  The app has stopped connecting to my car after one week, and, my car itself has disappeared from the acura owners website.",,,sad,
AcuraLink,Google Play,AcuraLink,Google Play,com.acura.acuralink.connect,Z3A6QU9xcFRPSGdia1JYLTR6VzZsNkxtZHNTbmd4TG9KQ21oSElES0dRc1VSVTMxLTBUOTljNTJFeHJuUVhsRWlwd3p3eWNNRWFQUEtkSmxLZ00xcTRoSVE,English,,1,2018-01-13,Rekhender Dhawan,"","Why do I need subscription for basic stuff? Didn't expect it from Acura that after paying so much for the car, we still need to pay more. Simply hate it!!",,,sad,
Google Maps - GPS Navigation,iOS,Google Maps - GPS Navigation,iOS,585027354,2102797613,Mexico,4.43,5,2018-01-18,lobo norteño,Rutas y tráfico:,Realmente considero de mucha utilidad la aplicación y el Apollo qué da.,Routes and traffic:,I really consider the application and the Apollo what it gives very useful.,,
Google Maps - GPS Navigation,iOS,Google Maps - GPS Navigation,iOS,585027354,2102780856,China,4.43,5,2018-01-18,9559唉几零几,听说谷歌地图回归了,是不是，下载个试试好用不,I heard that Google Map is back,"Is not it, try to download a good use not",,
Google Maps - GPS Navigation,iOS,Google Maps - GPS Navigation,iOS,585027354,2102742792,China,4.43,5,2018-01-18,内江速度,空白一片,打开空白一片，还是忍不住五星好评,Blank one,"Open a blank, or could not help but five-star praise",,
Google Maps - GPS Navigation,iOS,Google Maps - GPS Navigation,iOS,585027354,2102739401,India,4.43,5,2018-01-18,Dr.Abnish,Giggle map,Excellent app it works like magic,,,delighted,
Google Maps - GPS Navigation,iOS,Google Maps - GPS Navigation,iOS,585027354,2102684382,USA,4.43,3,2018-01-18,EmBroham,"Longitude/latitude, not address?","I don't operate by longitude/latitude; why does Google Maps? This is very confusing. Also, why can't I see an overview when I'm in Navigation mode? Sometimes I want to see that... very frustrating!",,,sad,
Google Maps - GPS Navigation,iOS,Google Maps - GPS Navigation,iOS,585027354,2102669202,China,4.43,5,2018-01-18,While.lemon,评论了真的就能用了吗？中国高德版，什么时候发布？,之前一直用谷歌地图，后来不能用了，才换到其他地图，现在听说又要出和高德和版的地图了，但愿还能和以前一样的服务。,"Comments really can use it? Chinese high German version, when released?","Before using Google Maps, and later can not be used, before switching to other maps, and now I heard that they have a high German version of the map, and I hope the same service as before.",,
Google Maps - GPS Navigation,iOS,Google Maps - GPS Navigation,iOS,585027354,2102658763,Spain,4.43,5,2018-01-18,Piña55555,Avisador de radares,"En mi opinión , lo único q le falta a esta aplicación para ser inmejorable , es un avisador de radares fijos 😉",Speed ​​camera,"In my opinion, the only thing that lacks this application to be unbeatable, is a fixed radar warning.",,
Google Maps - GPS Navigation,iOS,Google Maps - GPS Navigation,iOS,585027354,2102655673,Argentina,4.43,2,2018-01-18,Elmudodelsur,El mudo del sur,Desde la última actualización cada vez que ingreso a la App a los pocos segundos queda la pantalla en negro y luego quedó viendo el escritorio del celular. Mal mal.,The South Mute,Since the last update every time I joined the App a few seconds left the black screen and then was looking at the desktop of the cell phone. Bad bad.,,
Google Maps - GPS Navigation,iOS,Google Maps - GPS Navigation,iOS,585027354,2102652585,USA,4.43,2,2018-01-18,lindyboi,Excellent until it started crashing all the time,The last two weeks google maps crashes every time I start directions. I KEEP GOING BACK because I depends on it so much.,,,meh,
Google Maps - GPS Navigation,iOS,Google Maps - GPS Navigation,iOS,585027354,2102626813,USA,4.43,3,2018-01-18,Apache me,Really?,I downloaded google maps and half of the sites tell me it’s not been downloaded. What’s up with that?,,,,
Google Maps - GPS Navigation,iOS,Google Maps - GPS Navigation,iOS,585027354,2102605896,USA,4.43,2,2018-01-18,ECJIGBGE,Crashes constantly,"The app used to be great on the IPhone 7, but now it crashes every time I start the route. Plus if I use an address from Safari it crashes once I start the route. Went back to the IOS maps until further updates.",,,sad,
Google Maps - GPS Navigation,iOS,Google Maps - GPS Navigation,iOS,585027354,2102587910,China,4.43,5,2018-01-18,njdygo,用不了啊,"是大陸用不了還是要评论才能用啊？求解
是大陸用不了還是要评论才能用啊？求解
是大陸用不了還是要评论才能用啊？求解",Can not use it,Can not use the mainland or to comment to use ah? Solving is the mainland can not use or to comment to use ah? Solving is the mainland can not use or to comment to use ah? Solve,,
Google Maps - GPS Navigation,iOS,Google Maps - GPS Navigation,iOS,585027354,2102549040,China,4.43,1,2018-01-18,lisashun,无法登陆注册,满怀希望，下载却无法登陆、定位、使用.等于废物，很失望,Can not login to register,"Full of hope, download but can not login, locate, use. Equal to waste, very disappointed",,
Google Maps - GPS Navigation,iOS,Google Maps - GPS Navigation,iOS,585027354,2102544073,USA,4.43,4,2018-01-18,F£lix-01,Please read,"Please in offline mode to be able to download larger areas such as a complete state. Downloading by states is easier and faster.

""Please add speed limits""",,,,
Google Maps - GPS Navigation,iOS,Google Maps - GPS Navigation,iOS,585027354,2102495731,Australia,4.43,4,2018-01-18,Leonard5,Very handy,"Love this app, just every now and then it doesn’t say the name of the street you’re about to turn on.",,,happy,
Google Maps - GPS Navigation,iOS,Google Maps - GPS Navigation,iOS,585027354,2102481985,Japan,4.43,5,2018-01-18,お酒が一番,このGoogleMap 最高,"ヤッパリこのナビは最高。
カーナビが売れなくなる訳だ。",This GoogleMap highest,Yappari This navigation is the best. Car navigation will not sell.,,
Google Maps - GPS Navigation,iOS,Google Maps - GPS Navigation,iOS,585027354,2102417968,Ukraine,4.43,5,2018-01-18,Dimas1337_dip,гугл рулит,Классные карты. Только ими пользуюсь последние пять лет.,Google rocks,Cool cards. I only use them for the last five years.,,
Google Maps - GPS Navigation,iOS,Google Maps - GPS Navigation,iOS,585027354,2102354078,Japan,4.43,3,2018-01-18,N.Ｊ.W,フリーズする,"埼玉県の川越線をタップして読み込もうとすると、読み込み途中でフリーズしてしまいます。
確認お願い致します。",To freeze,"Tap on Kawagoe Line in Saitama Prefecture and try to load, it will freeze on the way of reading. Please check.",,
Google Maps - GPS Navigation,iOS,Google Maps - GPS Navigation,iOS,585027354,2102321927,Germany,4.43,2,2018-01-18,krt125,Zwischenziele mit iPad,Mit iPad nur drei Zwischenziele möglich. Am PC als 12 Zz.,Intermediate destinations with iPad,With iPad only three intermediate goals possible. On the PC as 12 Zz.,,
